Division,COMPETITORS,URL HP,URL CHINA
FG,CHANEL,https://www.chanel.com/us/,https://www.chanel.cn/cn/
FG,GUCCI,https://www.gucci.com/us/en/,https://www.gucci.cn/zh/
FG,HERMES,https://www.hermes.com/us/en/,https://www.hermes.cn/cn/zh/
BEAUTY,ESTEE LAUDER,https://www.esteelauder.com/,https://www.esteelauder.com.cn/
BEAUTY,LANCOME,www.lancome.fr,https://www.lancome.com.cn/
BEAUTY,MAC COSMETICS,https://www.maccosmetics.com/,https://www.maccosmetics.com.cn/
WS,CHARLES HEIDSIECK,https://charlesheidsieck.com/fr,x
WS,BOLLINGER,https://www.champagne-bollinger.com/en/,x
WS,L. ROEDERER,https://www.louis-roederer.com/fr,https://www.louis-roederer.com/zh-hans
WJ,ROLEX,https://www.rolex.com/en-us,https://www.rolex.cn/
WJ,CARTIER,https://www.cartier.com/en-us/home,https://www.cartier.cn/
WJ,BOUCHERON,https://www.boucheron.com/us/,https://www.boucheron.cn/cn_zh/
FG,Bottega Veneta,https://www.bottegaveneta.com/en-us,https://www.bottegaveneta.cn/
FG,COACH,https://www.coach.com/,https://hongkong.coach.com/
