Division,Maison,Locale principale,Page China
Beauty,ACQUA DI PARMA,https://www.acquadiparma.com/it/it/,x
Beauty,BULY1803,https://buly1803.com/,x
Beauty,MAKE UP FOR EVER,https://www.makeupforever.com/us/en,https://makeupforeverhk.shop/
Beauty,GUERLAIN,https://www.guerlain.com/us/en-us,https://www.guerlain.com.cn/
Beauty,FRESH,https://www.fresh.com/us/home,x
Beauty,BENEFIT,https://www.benefitcosmetics.com/en-us,https://www.benefitcosmetics.com/zh-hk
Beauty,KVD,https://kvdbeauty.com/,x
Beauty,LOEWE PARFUM,https://www.perfumesloewe.com/es/es_ES/,https://www.perfumesloewe.com/int/zh_HK/
Beauty,KENZO PARFUM,https://www.kenzoparfums.com/fr/fr/home,https://www.kenzoparfums.cn/cn/zh/home
Beauty,GIVENCHY (BEAUTY),https://www.givenchybeauty.com/us,https://www.givenchybeauty.cn/
Beauty,MFK,www.franciskurkdjian.com/us-en,x
Beauty,PCD,https://www.dior.com/en_us/beauty,https://www.dior.cn/zh_cn/beauty
Beauty,FENTY BEAUTY,https://fentybeauty.com/,x
FG,BERLUTI,https://www.berluti.com/ja-jp/,https://www.berluti.com/zh-cn/
FG,LOUIS VUITTON,https://us.louisvuitton.com/,https://www.louisvuitton.cn/
FG,LORO PIANA,https://us.loropiana.com/en/,https://www.loropiana.cn/
FG,FENDI,https://www.fendi.com/us-en/,https://www.fendi.com/hk-zh/
FG,CDC,https://www.dior.com/en_us/beauty,https://www.dior.cn/zh_cn/beauty
FG,GIVENCHY (COUTURE),https://www.givenchy.com/us/en-US/homepage,https://www.givenchy.com/apac/zh/
FG,LOEWE,https://www.loewe.com/jpn/ja/home,https://www.loewe.com.cn/
FG,JWA,https://jwanderson.com/en-us,https://jwanderson.com/en-cn
FG,MOYNAT,https://www.moynat.com/en-us,https://www.moynat.com/zh-cn
FG,RIMOWA,https://www.rimowa.com/us/en/home,https://www.rimowa.com/cn/zh/home
FG,CELINE,https://www.celine.com/en-us/home,https://www.celine.cn/
FG,KENZO,https://www.kenzo.com/en-us/home,https://www.kenzo.cn/
WJ,FRED,https://www.fred.com/fr_FR/home/,https://www.fred.com/cn/zh_CN/%E4%B8%BB%E9%A1%B5/
WJ,HUBLOT,https://www.hublot.com/en-us,https://www.hublot.com/zh-int
WJ,ZENITH,https://www.zenith-watches.com/en_us,https://www.zenith-watches.com/zh_cn
WJ,BVLGARI,https://www.bulgari.com/en-us/,https://www.bulgari.cn/zh-cn/
WJ,CHAUMET,https://www.chaumet.com/jp_ja,https://www.chaumet.cn/
WJ,TAG HEUER,https://www.tagheuer.com/us/en/,https://www.tagheuer.com/cn/hans/
WJ,TIFFANY,https://www.tiffany.com/,https://www.tiffany.cn/
Other,BELMOND,https://www.belmond.com/en,x
Other,CHEVAL BLANC,https://www.chevalblanc.com/fr/,x
SR,SEPHORA FR,https://www.sephora.fr/,x
SR,SEPHORA UK,https://www.sephora.co.uk/,x
SR,SEPHORA NA,https://www.sephora.com/,x
SR,SEPHORA APAC,https://www.sephora.cn/,x
SR,24s,https://www.24s.com/fr-fr/,https://www.24s.com/en-cn/
WS,MOET,https://www.moet.com/en-us,https://www.moet.com/zh-hans
WS,HENNESSY,https://www.hennessy.com/en-us,https://www.hennessy.cn/
WS,DOM PERIGNON,https://www.domperignon.com/en-us,x
WS,VEUVE CLICQUOT,https://www.veuveclicquot.com/en-us/home,x
WS,KRUG,https://www.krug.com/fr,x
WS,RUINART,https://www.ruinart.com/fr-fr/home,x
