config_id,domaine,cse
8047,www.jacadi.fr,mouloud@fasterize.com
112,www.but.fr,mouloud@fasterize.com
7039,fr.shopping.rakuten.com,n@fasterize.com
5413,www.groupama.fr,n@fasterize.com
5571,www.electrodepot.fr,maxime@fasterize.com
6313,www.king-jouet.com,mouloud@fasterize.com
4719,www.conforama.fr,n@fasterize.com
8302,www.mise-au-green.com,mouloud@fasterize.com
7246,www.castorama.fr,n@fasterize.com
7444,www.comptoirducabriolet.com,mouloud@fasterize.com
7368,www.mecatechnic.com,mouloud@fasterize.com
7884,www.christofle.com,mouloud@fasterize.com
7627,www.1001pneus.fr,eben@fasterize.com
5674,www.afflelou.com,maxime@fasterize.com
8360,www.homeexchange.fr,eben@fasterize.com
customer_1219,www.balmain.com,
customer_128,www.studapart.com,eben@fasterize.com
7854,www.igesa.fr,maxime@fasterize.com
7809,www.lapeyre.fr,mouloud@fasterize.com
7913,www.vertbaudet.fr,maxime@fasterize.com
5482,www.rougegorge.com,mouloud@fasterize.com
7505,www.jules.com,mouloud@fasterize.com
8241,www.b-z-b.com,mouloud@fasterize.com
7504,www.jonak.fr,mouloud@fasterize.com
7954,www.bricodepot.fr,maxime@fasterize.com
6481,www.bestwestern.fr,jordan@fasterize.com
8160,www.bexley.com,maxime@fasterize.com
8012,www.bexley.fr,maxime@fasterize.com
7436,www.inderwear.com,mouloud@fasterize.com
customer_1673,interflora.dk,n@fasterize.com
8475,www.interflora.es,n@fasterize.com
2986,www.interflora.fr,n@fasterize.com
8345,www.interflora.it,n@fasterize.com
8476,www.interflora.pt,n@fasterize.com
customer_1507,www.interflora.se,n@fasterize.com
3539,www.natureetdecouvertes.com,mouloud@fasterize.com
customer_472,www.drunkelephant.fr,mouloud@fasterize.com
8003,www.narscosmetics.co.uk,mouloud@fasterize.com
7918,www.shiseido.fr,mouloud@fasterize.com
7917,www.saint-maclou.com,eben@fasterize.com
customer_526,www.logishotels.com,maxime@fasterize.com
8262,www.5five.com,mouloud@fasterize.com
7282,www.atmosphera.com,mouloud@fasterize.com
4568,www.hesperide.com,mouloud@fasterize.com
8058,www.gt2i.com,eben@fasterize.com
7811,www.manutan.fr,eben@fasterize.com
7844,fr.peugeot-saveurs.com,mouloud@fasterize.com
5693,www.bricomarche.com,eben@fasterize.com
customer_235,www.bricorama.fr,eben@fasterize.com
7887,www.eresparis.com,eben@fasterize.com
7965,www.gemo.fr,eben@fasterize.com
customer_825,www.petit-bateau.fr,maxime@fasterize.com
7945,www.boutique-jourdefete.com,mouloud@fasterize.com
7783,www.playbacpresse.fr,eben@fasterize.com
3296,www.materiel-velo.com,eben@fasterize.com
7988,www.abcroisiere.com,mouloud@fasterize.com
7987,www.fram.fr,mouloud@fasterize.com
7985,www.promovacances.com,mouloud@fasterize.com
customer_239,www.malakoffhumanis.com,n@fasterize.com
7885,www.mr-bricolage.fr,eben@fasterize.com
customer_452,www.travelski.com,mouloud@fasterize.com
customer_1706,ba-sh.com,maxime@fasterize.com
7260,www.courir.com,jordan@fasterize.com
6749,www.stores-discount.com,maxime@fasterize.com
6742,www.fitadium.com,mouloud@fasterize.com
4756,www.alltricks.fr,mouloud@fasterize.com
7213,www.manutan-collectivites.fr,eben@fasterize.com
8031,www.maxicoffee.com,eben@fasterize.com
customer_1155,www.woodbrass.com,mouloud@fasterize.com
customer_2032,universpharmacie.fr,maxime@fasterize.com
2646,www.lentillesmoinscheres.com,mouloud@fasterize.com
customer_2087,www.picard.fr,maxime@fasterize.com
customer_1733,www.baccarat.com,mouloud@fasterize.com
customer_2137,www.vacanceole.com,maxime@fasterize.com
customer_2297,www.lvp-distribution.fr,maxime@fasterize.com
customer_2596,www.damart.fr,eben@fasterize.com
customer_2704,www.juritravail.com,mouloud@fasterize.com
customer_2892,www.aircaraibes.com,jordan@fasterize.com
customer_2895,www.frenchbee.com,jordan@fasterize.com
customer_2836,www.bati-avenue.com,jordan@fasterize.com
customer_2835,www.manouvellevoiture.com,jordan@fasterize.com
customer_2496,www.damart.co.uk,eben@fasterize.com
